epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.031,1.3023,2.96465,1.28682,0.97403,0.17124,0.65586,0.41119,1.19093,3.11223,1.14313,0.000365117,0.000365117,0.000365117
2,700.26,1.12408,1.64796,1.20988,0.71556,0.78264,0.92273,0.62961,1.0545,1.96057,1.20555,0.000699046,0.000699046,0.000699046
3,1021.65,1.12381,1.45788,1.19735,0.84345,0.7057,0.87727,0.57017,1.17551,1.77429,1.25536,0.000996311,0.000996311,0.000996311
4,1411.36,1.05706,1.2718,1.18347,0.87547,0.87879,0.94567,0.66932,1.04045,1.24492,1.22934,0.000946016,0.000946016,0.000946016
5,1738.91,1.01038,1.10964,1.14978,0.94893,0.93732,0.97787,0.76147,0.88539,1.03527,1.13808,0.000891022,0.000891022,0.000891022
6,2178.73,0.95539,0.97442,1.11447,0.93265,0.93642,0.97177,0.71864,0.9393,0.90784,1.12595,0.000836027,0.000836027,0.000836027
7,2563.88,0.92014,0.88154,1.10044,0.95357,0.92758,0.97635,0.763,0.82214,0.80523,1.07546,0.000781033,0.000781033,0.000781033
8,2856.29,0.89846,0.79977,1.08241,0.98385,0.95423,0.98371,0.76654,0.82403,0.72791,1.07246,0.000726038,0.000726038,0.000726038
9,3141.25,0.88229,0.75124,1.07448,0.96363,0.9749,0.98566,0.78439,0.80064,0.69008,1.05584,0.000671044,0.000671044,0.000671044
10,3433.21,0.84203,0.69152,1.05327,0.96514,0.98082,0.98727,0.78072,0.79061,0.64684,1.04962,0.000616049,0.000616049,0.000616049
11,3697.61,0.79976,0.72791,1.04461,0.9725,0.95203,0.98753,0.77814,0.78369,0.63603,1.04445,0.000561055,0.000561055,0.000561055
12,3965.31,0.7612,0.65891,1.02825,0.96137,0.97348,0.98691,0.7999,0.75858,0.58775,1.03475,0.00050606,0.00050606,0.00050606
13,4229.26,0.7527,0.62243,1.02118,0.97465,0.97738,0.98993,0.8099,0.75921,0.55435,1.02108,0.000451066,0.000451066,0.000451066
14,4495.01,0.73835,0.57571,1.0006,0.98092,0.96958,0.98983,0.81523,0.71724,0.51906,0.99745,0.000396071,0.000396071,0.000396071
15,4766.39,0.70847,0.54226,0.99598,0.98472,0.97197,0.99,0.83282,0.69983,0.49903,1.00639,0.000341077,0.000341077,0.000341077
16,5028.72,0.67471,0.51536,0.98653,0.98775,0.9708,0.99059,0.82822,0.70188,0.48317,0.99427,0.000286083,0.000286083,0.000286083
17,5297,0.67128,0.49552,0.98229,0.98493,0.97702,0.99171,0.83539,0.68705,0.45701,0.99163,0.000231088,0.000231088,0.000231088
18,5560.03,0.645,0.4763,0.96238,0.98095,0.9831,0.99256,0.8505,0.65466,0.44036,0.97822,0.000176094,0.000176094,0.000176094
19,5832.19,0.62883,0.46204,0.96221,0.98921,0.97962,0.99228,0.84933,0.66239,0.43015,0.97492,0.000121099,0.000121099,0.000121099
20,6096.1,0.62277,0.45318,0.95703,0.98389,0.98153,0.99257,0.85155,0.64808,0.41865,0.96484,6.61045e-05,6.61045e-05,6.61045e-05
